Label;Function;Description;APIName;APIUrl;Action;LocalPermissions;RemotePermissions;Scope;Settings;Available;ReportType;ExportFile;BoxVersion
GET-WANDAAS;Get-WANDiagsAllActiveSessions;Get WAN DIAGS All Active Sessions Information;wan/diags/sessions;https://192.168.1.254/api/v1/wan/diags/sessions;GET;private;private;diag-read;No;Yes;Table;wan-diags-sessions;22.3.22
GET-WANDAASH;Get-WANDiagsAllActiveSessionsHost;Get WAN DIAGS All Active Sessions Information by Host;wan/diags/sessions;https://192.168.1.254/api/v1/wan/diags/sessions/{ID};GET;private;private;diag-read;No;Yes;Table;wan-diags-sessions-id;22.3.22
GET-WANFS;Get-WANFStats;Get WAN FTTH STATS Information;wan/ftth/stats;https://192.168.1.254/api/v1/wan/ftth/stats;GET;public;private;wan-read;No;Yes;List;wan-ftth-stats;22.3.22
GET-WANIP;Get-WANIP;Get WAN IP Configuration Information;wan/ip;https://192.168.1.254/api/v1/wan/ip;GET;public;private;wan-read;No;Yes;List;wan-ip;22.3.22
GET-WANIPS;Get-WANIPStats;Get WAN IP Stats Information;wan/ip/stats;https://192.168.1.254/api/v1/wan/ip/stats;GET;public;private;wan-read;No;Yes;List;wan-ip-stats;22.3.22
GET-WANXDSL;Get-WANXDSL;Get WAN XDSL Configuration Information;wan/xdsl;https://192.168.1.254/api/v1/wan/xdsl;GET;public;private;wan-read;No;Yes;List;wan-xdsl;22.3.22
GET-WANXDSLS;Get-WANXDSLStats;Get WAN XDSL Stats Information;wan/xdsl/stats;https://192.168.1.254/api/v1/wan/xdsl/stats;GET;public;private;wan-read;No;Yes;List;wan-xdsl-stats;22.3.22
GET-WANSFF;Get-WANSFF;Get WAN SFF Configuration Information;wan/sff;https://192.168.1.254/api/v1/wan/sff;GET;public;private;wan-read;No;Yes;List;wan-sff;22.3.22
GET-WIRELESS;Get-WIRELESS;Get WIRELESS Configuration Information;wireless;https://192.168.1.254/api/v1/wireless;GET;private;private;wifi-read;No;Yes;List;wireless;22.3.22
Get-WIRELESSSTD;Get-WIRELESSSTANDARD;Get WIRELESS Standard Norme Information;wireless;https://192.168.1.254/api/v1/wireless;GET;private;private;wifi-read;No;Yes;Table;wireless-standard;22.3.22
GET-WIRELESS24;Get-WIRELESS24;Get WIRELESS 2.4Ghz Configuration Information;wireless/24;https://192.168.1.254/api/v1/wireless/24;GET;private;private;wifi-read;No;Yes;List;wireless-24;22.3.22
GET-WIRELESS24S;Get-WIRELESS24Stats;Get WIRELESS 2.4Ghz Stats Information;wireless/24/stats;https://192.168.1.254/api/v1/wireless/24/stats;GET;private;private;wifi-read;No;Yes;List;wireless-24-stats;22.3.22
GET-WIRELESS5;Get-WIRELESS5;Get WIRELESS 5.2Ghz Configuration Information;wireless/5;https://192.168.1.254/api/v1/wireless/5;GET;private;private;wifi-read;No;Yes;List;wireless-5;22.3.22
GET-WIRELESS5S;Get-WIRELESS5Stats;Get WIRELESS 5.2Ghz Stats Information;wireless/5/stats;https://192.168.1.254/api/v1/wireless/5/stats;GET;private;private;wifi-read;No;Yes;List;wireless-5-stats;22.3.22
GET-WIRELESSACL;Get-WIRELESSACL;Get WIRELESS ACL Configuration Information;wireless/acl;https://192.168.1.254/api/v1/wireless/acl;GET;private;private;wifi-read;No;Yes;List;wireless-acl;22.3.22
GET-WIRELESSACLR;Get-WIRELESSACLRules;Get WIRELESS ACL Rules Configuration Information;wireless/acl;https://192.168.1.254/api/v1/wireless/acl;GET;private;private;wifi-read;No;Yes;Table;wireless-acl-rules;22.3.22
GET-WIRELESSACLRID;Get-WIRELESSACLRulesID;Get WIRELESS ACL Rules Configuration Information by ID;wireless/acl;https://192.168.1.254/api/v1/wireless/acl/{ID};GET;private;private;wifi-read;No;Yes;List;wireless-acl-rules-id;22.3.22
GET-WIRELESSFSM;Get-WIRELESSFastScanMe;Get WIRELESS Fast scan for my device;wireless/fastscan/me;https://192.168.1.254/api/v1/wireless/fastscan/me;GET;public;private;wifi-read;No;Yes;List;wireless-fastscan-me;22.3.22
GET-WIRELESSFBNH;Get-WIRELESSFrequencyNeighborhoodScan;Get WIRELESS 2.4Ghz Frequency Neighborhood Scan Information;wireless/24/neighborhood;https://192.168.1.254/api/v1/wireless/24/neighborhood;GET;private;private;wifi-read;No;Yes;Table;wireless-24-neighborhood;22.3.22
GET-WIRELESSFBNH;Get-WIRELESSFrequencyNeighborhoodScan;Get WIRELESS 5.2Ghz Frequency Neighborhood Scan Information;wireless/5/neighborhood;https://192.168.1.254/api/v1/wireless/5/neighborhood;GET;private;private;wifi-read;No;Yes;Table;wireless-5-neighborhood;22.3.22
GET-WIRELESSR;Get-WIRELESSRepeater;Get WIRELESS Repeater Configuration Information;wireless/repeater;https://192.168.1.254/api/v1/wireless/repeater;GET;private;private;wifi-read;No;Yes;List;wireless-repeater;22.3.22
