Label;Function;Description;APIName;APIUrl;Action;LocalPermissions;RemotePermissions;Scope;Settings;Available;ReportType;ExportFile;BoxVersion
;;Update the current Dmz configuration;; https://mafreebox.freebox.fr/api/v4/fw/dmz;Put;Private;Private;;No;No;List;FW_DMZ;
;;Getting the list of port forwarding;;https://mafreebox.freebox.fr/api/v4/fw/redir;Get;Private;Private;;No;Yes;Table;FW_Redir;
;;Add a port forwarding;; https://mafreebox.freebox.fr/api/v4/fw/redir;Post;Private;Private;;No;No;List;FW_Redir_Add;
;;Updating a port forwarding;; https://mafreebox.freebox.fr/api/v4/fw/redir/{redir_id};Put;Private;Private;;No;No;List;FW_Redir_By_ID;
;;Delete a port forwarding;; https://mafreebox.freebox.fr/api/v4/fw/redir/{redir_id};Delete;Private;Private;;No;No;List;FW_Redir_By_ID;
;;Getting the list of incoming ports;;https://mafreebox.freebox.fr/api/v4/fw/incoming;Get;Private;Private;;No;Yes;Table;FW_Incoming;
;;Getting a specific incoming port;;https://mafreebox.freebox.fr/api/v4/fw/incoming/{port_id};Get;Private;Private;;No;Yes;List;FW_Incoming_By_ID;
;;Updating an incoming port;; https://mafreebox.freebox.fr/api/v4/fw/incoming/{port_id};Put;Private;Private;;No;No;List;FW_Incoming_By_ID;
;;Get the current UPnP IGD configuration;;https://mafreebox.freebox.fr/api/v4/upnpigd/config;Get;Private;Private;;No;Yes;List;Upnpigd_Config;
;;Update the UPnP IGD configuration;; https://mafreebox.freebox.fr/api/v4/upnpigd/config;Put;Private;Private;;No;No;List;Upnpigd_Config;
;;Get the list of current redirection;;https://mafreebox.freebox.fr/api/v4/upnpigd/redir;Get;Private;Private;;No;Yes;Table;Upnpigd_Redir;
;;Delete a redirection;; https://mafreebox.freebox.fr/api/v4/upnpigd/redir/{id};Delete;Private;Private;;No;No;List;Upnpigd_Redir_Delete_By_ID;
;;Get the current LCD configuration;;https://mafreebox.freebox.fr/api/v4/lcd/config;Get;Private;Private;;No;Yes;List;LCD_Config;
;;Update the lcd configuration;; https://mafreebox.freebox.fr/api/v4/lcd/config;Put;Private;Private;;No;No;List;LCD_Config;
;;Get the current Samba configuration;;https://mafreebox.freebox.fr/api/v4/netshare/samba;Get;Private;Private;;No;Yes;List;Netshare_Samba;
;;Update the Samba configuration;; https://mafreebox.freebox.fr/api/v4/netshare/samba;Put;Private;Private;;No;No;List;Netshare_Samba;
;;Get the current Afp configuration;;https://mafreebox.freebox.fr/api/v4/netshare/afp;Get;Private;Private;;No;Yes;List;Netshare_AFP;
;;Update the current Afp configuration;; https://mafreebox.freebox.fr/api/v4/netshare/afp;Put;Private;Private;;No;No;List;Netshare_AFP;
;;Get the current UPnP AV configuration;;https://mafreebox.freebox.fr/api/v4/upnpav/config;Get;Private;Private;;No;Yes;List;Upnpav_Config;
;;Update the current UPnP AV configuration;; https://mafreebox.freebox.fr/api/v4/upnpav/config;Put;Private;Private;;No;No;List;Upnpav_Config;
;;Get the current switch status;;https://mafreebox.freebox.fr/api/v4/switch/status;Get;Private;Private;;No;Yes;Table;Switch_Status;
;;Get a port configuration;;https://mafreebox.freebox.fr/api/v4/switch/port/{id};Get;Private;Private;;No;Yes;List;Switch_Port_By_ID;
;;Update a port configuration;; https://mafreebox.freebox.fr/api/v4/switch/port/{id};Put;Private;Private;;No;No;List;Switch_Port_By_ID;
;;Get a port stats;;https://mafreebox.freebox.fr/api/v4/switch/port/{id}/stats;Get;Private;Private;;No;Yes;List;Switch_Port_Stats_By_ID;
;;;; https://mafreebox.freebox.fr/api/v2/wifi/config;;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v2/wifi/ap;;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v2/wifi/ap/{id};;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v2/wifi/ap/{id}/allowed_channel_comb;;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v2/wifi/ap/{id}/stations;;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v2/wifi/bss;;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v2/wifi/bss/{id};;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v2/wifi/ap/{id}/neighbors;;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v2/wifi/ap/{id}/channel_usage;;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v2/wifi/ap/{id}/neighbors/scan;;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v2/wifi/planning;;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v2/wifi/mac_filter;;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v2/wifi/mac_filter/{filter_id};;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v2/wifi/config/reset;;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v4/system;;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v4/system/reboot;;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v4/vpn;;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v4/vpn/{vpn_id}/config;;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v4/vpn/openvpn_routed/config;;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v4/vpn/user;;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v4/vpn/user/{login};;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v4/vpn/ip_pool;;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v4/vpn/connection;;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v4/vpn/connection/{id};;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v4/vpn/download_config/{server_name}/{login};;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v4/vpn_client/config;;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v4/vpn_client/config/{id};;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v4/vpn_client/status;;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v4/vpn_client/log;;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v4/storage/disk;;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v4/storage/disk/{id};;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v4/storage/disk/{id}/format;;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v4/storage/partition;;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v4/storage/partition/{id};;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v4/storage/partition/{id}/check;;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v4/storage/config;;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v4/parental/config;;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v4/parental/filter;;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v4/parental/filter/{id};;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v4/parental/filter/{id}/planning;;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v4/pvr/config;;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v4/pvr/quota;;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v4/pvr/programmed;;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v4/pvr/programmed/{id};;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v4/pvr/finished;;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v4/pvr/finished/{id};;;;;;;;;
;;;; https://mafreebox.freebox.fr/api/v4/pvr/media;;;;;;;;;
