Label;Function;Description;APIName;APIUrl;Action;LocalPermissions;RemotePermissions;Scope;Settings;Available;ReportType;ExportFile
GET-WANXDSLS;Get-WANXDSLStats;Get WAN XDSL Stats Information;wan/xdsl/stats;https://192.168.1.254/api/v1/wan/xdsl/stats;GET;public;Private;wan-read;No;Yes;List;wan-xdsl-stats
GET-WANSFF;Get-WANSFF;Get WAN SFF Configuration Information;wan/sff;https://192.168.1.254/api/v1/wan/sff;GET;public;Private;wan-read;No;Yes;List;wan-sff
GET-WIRELESS;Get-WIRELESS;Get WIRELESS Configuration Information;wireless;https://192.168.1.254/api/v1/wireless;GET;private;Private;wifi-read;No;Yes;List;wireless
GET-WIRELESS24;Get-WIRELESS24;Get WIRELESS 2.4Ghz Configuration Information;wireless/24;https://192.168.1.254/api/v1/wireless/24;GET;private;Private;wifi-read;No;Yes;List;wireless-24
GET-WIRELESS24S;Get-WIRELESS24Stats;Get WIRELESS 2.4Ghz Stats Information;wireless/24/stats;https://192.168.1.254/api/v1/wireless/24/stats;GET;private;Private;wifi-read;No;Yes;List;wireless-24-stats
GET-WIRELESS5;Get-WIRELESS5;Get WIRELESS 5.2Ghz Configuration Information;wireless/5;https://192.168.1.254/api/v1/wireless/5;GET;private;Private;wifi-read;No;Yes;List;wireless-5
GET-WIRELESS5S;Get-WIRELESS5Stats;Get WIRELESS 5.2Ghz Stats Information;wireless/5/stats;https://192.168.1.254/api/v1/wireless/5/stats;GET;private;Private;wifi-read;No;Yes;List;wireless-5-stats
GET-WIRELESSACL;Get-WIRELESSACL;Get WIRELESS ACL Configuration Information;wireless/acl;https://192.168.1.254/api/v1/wireless/acl;GET;private;Private;wifi-read;No;Yes;List;wireless-acl
GET-WIRELESSACLR;Get-WIRELESSACLRules;Get WIRELESS ACL Rules Configuration Information;wireless/acl;https://192.168.1.254/api/v1/wireless/acl;GET;private;Private;wifi-read;No;Yes;Table;wireless-acl-rules
GET-WIRELESSACLRID;Get-WIRELESSACLRulesID;Get WIRELESS ACL Rules Configuration Information by ID;wireless/acl;https://192.168.1.254/api/v1/wireless/acl;GET;private;Private;wifi-read;No;Yes;List;wireless-acl-rules-id
GET-WIRELESSFBNH;Get-WIRELESSFrequencyNeighborhoodScan;Get WIRELESS 2.4Ghz Frequency Neighborhood Scan Information;wireless/24/neighborhood;https://192.168.1.254/api/v1/wireless/24/neighborhood;GET;private;Private;wifi-read;No;Yes;Table;wireless-24-neighborhood
